801,0,2,0,0
802,1,2,1,1
803,1,1,1,2
804,1,3,0,1
805,1,3,0,0
806,0,3,0,0
807,0,1,0,0
808,0,3,0,0
809,0,2,0,0
810,1,1,1,0
811,0,3,0,0
812,0,3,0,0
813,0,2,0,0
814,0,3,4,2
815,0,3,0,0
816,0,1,0,0
817,0,3,0,0
818,0,2,1,1
819,0,3,0,0
820,0,3,3,2
821,1,1,1,1
822,1,3,0,0
823,0,1,0,0
824,1,3,0,1
825,0,3,4,1
826,0,3,0,0
827,0,3,0,0
828,1,2,0,2
829,1,3,0,0
830,1,1,0,0
831,1,3,1,0
832,1,2,1,1
833,0,3,0,0
834,0,3,0,0
835,0,3,0,0
836,1,1,1,1
837,0,3,0,0
838,0,3,0,0
839,1,3,0,0
840,1,1,0,0
841,0,3,0,0
842,0,2,0,0
843,1,1,0,0
844,0,3,0,0
845,0,3,0,0
846,0,3,0,0
847,0,3,8,2
848,0,3,0,0
849,0,2,0,1
850,1,1,1,0
851,0,3,4,2
852,0,3,0,0
853,0,3,1,1
854,1,1,0,1
855,0,2,1,0
856,1,3,0,1
857,1,1,1,1
858,1,1,0,0
859,1,3,0,3
860,0,3,0,0
861,0,3,2,0
862,0,2,1,0
863,1,1,0,0
864,0,3,8,2
865,0,2,0,0
866,1,2,0,0
867,1,2,1,0
868,0,1,0,0
869,0,3,0,0
870,1,3,1,1
871,0,3,0,0
872,1,1,1,1
873,0,1,0,0
874,0,3,0,0
875,1,2,1,0
876,1,3,0,0
877,0,3,0,0
878,0,3,0,0
879,0,3,0,0
880,1,1,0,1
881,1,2,0,1
882,0,3,0,0
883,0,3,0,0
884,0,2,0,0
885,0,3,0,0
886,0,3,0,5
887,0,2,0,0
888,1,1,0,0
889,0,3,1,2
890,1,1,0,0
891,0,3,0,0
